name,type,catagory,power,accuracy,pp,effect
Rock Wrecker,rock,physical,150,90,5,none
Role Play,psychic,status,none,none,10,none
Rolling Kick,fighting,physical,60,85,15,30
Rollout,rock,physical,30,90,20,none
Roost,flying,status,none,none,5,none
Rototiller,ground,status,none,none,10,100
Round,normal,special,60,100,15,none
Ruination,dark,special,none,90,10,none
Sacred Fire,fire,physical,100,95,5,50
Sacred Sword,fighting,physical,90,100,15,none
Safeguard,normal,status,none,none,25,none
Salt Cure,rock,physical,40,100,15,none
Sand Attack,ground,status,none,100,15,none
Sand Tomb,ground,physical,35,85,15,100
Sandsear Storm,ground,special,100,80,10,none
Sandstorm,rock,status,none,none,10,none
Sappy Seed,grass,physical,90,100,15,100
Savage Spin-Out,bug,none,none,none,1,none
Scald,water,special,80,100,15,30
Scale Shot,dragon,physical,25,90,20,none
Scary Face,normal,status,none,100,10,none
Scorching Sands,ground,special,70,100,10,none
Scratch,normal,physical,40,100,35,none
Screech,normal,status,none,85,40,none
Searing Shot,fire,special,100,100,5,30
Searing Sunraze Smash,steel,physical,200,none,1,none
Secret Power,normal,physical,70,100,20,30
Secret Sword,fighting,special,85,100,10,none
Seed Bomb,grass,physical,80,100,15,none
Seed Flare,grass,special,120,85,5,40
Seismic Toss,fighting,physical,none,100,20,none
Self-Destruct,normal,physical,200,100,5,none
Shadow Ball,ghost,special,80,100,15,20
Shadow Bone,ghost,physical,85,100,10,20
Shadow Claw,ghost,physical,70,100,15,none
Shadow Force,ghost,physical,120,100,5,none
Shadow Punch,ghost,physical,60,∞,20,none
Shadow Sneak,ghost,physical,40,100,30,none
Sharpen,normal,status,none,none,30,none
Shattered Psyche,psychic,none,none,none,1,none
Shed Tail,normal,status,none,none,10,none
Sheer Cold,ice,special,none,30,5,none
Shell Side Arm,poison,special,90,100,10,none
Shell Smash,normal,status,none,none,15,none
Shell Trap,fire,special,150,100,5,none
Shelter,steel,status,none,none,10,none
Shift Gear,steel,status,none,none,10,none
Shock Wave,electric,special,60,∞,20,none
Shore Up,ground,status,none,none,5,none
Signal Beam,bug,special,75,100,15,10
Silk Trap,bug,status,none,none,10,none
Silver Wind,bug,special,60,100,5,10
Simple Beam,normal,status,none,100,15,none
Sing,normal,status,none,55,15,none
Sinister Arrow Raid,ghost,physical,180,none,1,none
Sizzly Slide,fire,physical,90,100,15,100
Sketch,normal,status,none,none,1,none
Skill Swap,psychic,status,none,none,10,none
Skitter Smack,bug,physical,70,90,10,none
Skull Bash,normal,physical,130,100,10,100
Sky Attack,flying,physical,140,90,5,30
Sky Drop,flying,physical,60,100,10,none
Sky Uppercut,fighting,physical,85,90,15,none
Slack Off,normal,status,none,none,5,none
Slam,normal,physical,80,75,20,none
Slash,normal,physical,70,100,20,none
Sleep Powder,grass,status,none,75,15,none
Sleep Talk,normal,status,none,none,10,none
Sludge,poison,special,65,100,20,30
Sludge Bomb,poison,special,90,100,10,30
Sludge Wave,poison,special,95,100,10,10
Smack Down,rock,physical,50,100,15,100
Smart Strike,steel,physical,70,none,10,none
Smelling Salts,normal,physical,70,100,10,none
Smog,poison,special,30,70,20,40
Smokescreen,normal,status,none,100,20,none
Snap Trap,grass,physical,35,100,15,100
Snarl,dark,special,55,95,15,100
Snatch,dark,status,none,none,10,none
Snipe Shot,water,special,80,100,15,none
Snore,normal,special,50,100,15,30
Snowscape,ice,status,none,none,10,none
Soak,water,status,none,100,20,none
Soft-Boiled,normal,status,none,none,5,none
Solar Beam,grass,special,120,100,10,none
Solar Blade,grass,physical,125,100,10,none
Sonic Boom,normal,special,none,90,20,none
Soul-Stealing 7-Star Strike,ghost,physical,195,none,1,none
Spacial Rend,dragon,special,100,95,5,none
Spark,electric,physical,65,100,20,30
Sparkling Aria,water,special,90,100,10,none
Sparkly Swirl,fairy,special,90,100,15,none
Spectral Thief,ghost,physical,90,100,10,none
Speed Swap,psychic,status,none,none,10,none
Spicy Extract,grass,status,none,∞,15,none
Spider Web,bug,status,none,none,10,none
Spike Cannon,normal,physical,20,100,15,none
Spikes,ground,status,none,none,20,none
Spiky Shield,grass,status,none,none,10,none
Spin Out,steel,physical,100,100,5,none
Spirit Break,fairy,physical,75,100,15,100
Spirit Shackle,ghost,physical,80,100,10,none
Spit Up,normal,special,none,100,10,none
Spite,ghost,status,none,100,10,none
Splash,normal,status,none,none,40,none
Splintered Stormshards,rock,physical,190,none,1,none
Splishy Splash,water,special,90,100,15,30
Spore,grass,status,none,100,15,none
Spotlight,normal,status,none,none,15,none
Springtide Storm,fairy,special,100,80,5,none
Stealth Rock,rock,status,none,none,20,none
Steam Eruption,water,special,110,95,5,30
Steamroller,bug,physical,65,100,20,30
Steel Beam,steel,special,140,95,5,none
Steel Roller,steel,physical,130,100,5,none
Steel Wing,steel,physical,70,90,25,10
Sticky Web,bug,status,none,none,20,none
Stockpile,normal,status,none,none,20,none
Stoked Sparksurfer,electric,special,175,none,1,100
Stomp,normal,physical,65,100,20,30
Stomping Tantrum,ground,physical,75,100,10,none
Stone Axe,rock,physical,65,90,15,none
Stone Edge,rock,physical,100,80,5,none
Stored Power,psychic,special,20,100,10,none
Storm Throw,fighting,physical,60,100,10,100
Strange Steam,fairy,special,90,95,10,20
Strength,normal,physical,80,100,15,none
Strength Sap,grass,status,none,100,10,100
String Shot,bug,status,none,95,40,none
Struggle,normal,physical,50,none,none,none
Struggle Bug,bug,special,50,100,20,100
Stuff Cheeks,normal,status,none,none,10,100
Stun Spore,grass,status,none,75,30,none
Submission,fighting,physical,80,80,20,none
Substitute,normal,status,none,none,10,none
Subzero Slammer,ice,none,none,none,1,none
Sucker Punch,dark,physical,70,100,5,none
Sunny Day,fire,status,none,none,5,none
Sunsteel Strike,steel,physical,100,100,5,none
Super Fang,normal,physical,none,90,10,none
Supercell Slam,electric,physical,100,95,15,none
Superpower,fighting,physical,120,100,5,100
Supersonic,normal,status,none,55,20,none
Supersonic Skystrike,flying,none,none,none,1,none
Surf,water,special,90,100,15,none
Surging Strikes,water,physical,25,100,5,none
Swagger,normal,status,none,85,15,none
Swallow,normal,status,none,none,10,none
Sweet Kiss,fairy,status,none,75,10,none
Sweet Scent,normal,status,none,100,20,none
Swift,normal,special,60,∞,20,none
Switcheroo,dark,status,none,100,10,none
Swords Dance,normal,status,none,none,20,none
Synchronoise,psychic,special,120,100,10,none
Synthesis,grass,status,none,none,5,none
Syrup Bomb,grass,special,60,85,10,none
Tachyon Cutter,steel,special,50,∞,10,none
Tackle,normal,physical,40,100,35,none
Tail Glow,bug,status,none,none,20,none
Tail Slap,normal,physical,25,85,10,none
Tail Whip,normal,status,none,100,30,none
Tailwind,flying,status,none,none,15,none
Take Down,normal,physical,90,85,20,none
Take Heart,psychic,status,none,none,10,none
Tar Shot,rock,status,none,100,15,100
Taunt,dark,status,none,100,20,none
Tearful Look,normal,status,none,none,20,100
Teatime,normal,status,none,none,10,none
Techno Blast,normal,special,120,100,5,none
Tectonic Rage,ground,none,none,none,1,none
Teeter Dance,normal,status,none,100,20,none
Telekinesis,psychic,status,none,none,15,none
Teleport,psychic,status,none,none,20,none
Temper Flare,fire,physical,75,100,10,none
Tera Blast,normal,special,80,100,10,none
Tera Starstorm,normal,special,120,100,5,none
Terrain Pulse,normal,special,50,100,10,none
Thief,dark,physical,60,100,25,none
Thousand Arrows,ground,physical,90,100,10,none
Thousand Waves,ground,physical,90,100,10,none
Thrash,normal,physical,120,100,10,none
Throat Chop,dark,physical,80,100,15,100
Thunder,electric,special,110,70,10,30
Thunder Cage,electric,special,80,90,15,none
Thunder Fang,electric,physical,65,95,15,10
Thunder Punch,electric,physical,75,100,15,10
Thunder Shock,electric,special,40,100,30,10
Thunder Wave,electric,status,none,90,20,none
Thunderbolt,electric,special,90,100,15,10
Thunderclap,electric,special,70,100,5,none
Thunderous Kick,fighting,physical,90,100,10,100
Tickle,normal,status,none,100,20,none
Tidy Up,normal,status,none,none,10,none
Topsy-Turvy,dark,status,none,none,20,none
Torch Song,fire,special,80,100,10,none
Torment,dark,status,none,100,15,none
Toxic,poison,status,none,90,10,none
Toxic Spikes,poison,status,none,none,20,none
Toxic Thread,poison,status,none,100,20,100
Trailblaze,grass,physical,50,100,20,none
Transform,normal,status,none,none,10,none
Tri Attack,normal,special,80,100,10,20
Trick,psychic,status,none,100,10,none
Trick Room,psychic,status,none,none,5,none
Trick-or-Treat,ghost,status,none,100,20,none
Triple Arrows,fighting,physical,90,100,10,none
Triple Axel,ice,physical,20,90,10,none
Triple Dive,water,physical,30,95,10,none
Triple Kick,fighting,physical,10,90,10,none
Trop Kick,grass,physical,70,100,15,100
Trump Card,normal,special,none,∞,5,none
Twin Beam,psychic,special,40,100,10,none
Twineedle,bug,physical,25,100,20,20
Twinkle Tackle,fairy,none,none,none,1,none
Twister,dragon,special,40,100,20,20
U-turn,bug,physical,70,100,20,none
Upper Hand,fighting,physical,65,100,15,none
Uproar,normal,special,90,100,10,none
V-create,fire,physical,180,95,5,100
Vacuum Wave,fighting,special,40,100,30,none
Veevee Volley,normal,physical,none,∞,20,none
Venom Drench,poison,status,none,100,20,100
Venoshock,poison,special,65,100,10,none
Victory Dance,fighting,status,none,none,10,none
Vine Whip,grass,physical,45,100,25,none
Vise Grip,normal,physical,55,100,30,none
Vital Throw,fighting,physical,70,∞,10,none
Volt Switch,electric,special,70,100,20,none
Volt Tackle,electric,physical,120,100,15,10
Wake-Up Slap,fighting,physical,70,100,10,none
Water Gun,water,special,40,100,25,none
Water Pledge,water,special,80,100,10,none
Water Pulse,water,special,60,100,20,20
Water Shuriken,water,special,15,100,20,none
Water Sport,water,status,none,none,15,none
Water Spout,water,special,150,100,5,none
Waterfall,water,physical,80,100,15,20
Wave Crash,water,physical,120,100,10,none
Weather Ball,normal,special,50,100,10,none
Whirlpool,water,special,35,85,15,100
Whirlwind,normal,status,none,none,20,none
Wicked Blow,dark,physical,75,100,5,none
Wicked Torque,dark,physical,80,100,10,none
Wide Guard,rock,status,none,none,10,none
Wild Charge,electric,physical,90,100,15,none
Wildbolt Storm,electric,special,100,80,10,none
Will-O-Wisp,fire,status,none,85,15,none
Wing Attack,flying,physical,60,100,35,none
Wish,normal,status,none,none,10,none
Withdraw,water,status,none,none,40,none
Wonder Room,psychic,status,none,none,10,none
Wood Hammer,grass,physical,120,100,15,none
Work Up,normal,status,none,none,30,none
Worry Seed,grass,status,none,100,10,none
Wrap,normal,physical,15,90,20,100
Wring Out,normal,special,none,100,5,none
X-Scissor,bug,physical,80,100,15,none
Yawn,normal,status,none,none,10,none
Zap Cannon,electric,special,120,50,5,100
Zen Headbutt,psychic,physical,80,90,15,20
Zing Zap,electric,physical,80,100,10,30
Zippy Zap,electric,physical,50,100,15,100
